ID,Tipo,SKU,Nombre,Publicado,Descripción,"Precio normal",Categorías,Imágenes,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
1342,simple,BH_PPVSU95_BH0301342,"Focaccia de entraña",-1,"Focaccia, entraña macerada al romero y oliva, cherrys confitados, cebolla caramelizada, rucula, queso danbo, c/papas",12000,"ENTRE PANES CALIENTES",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/focaccia-de-cebolla-caramelizada-foto-principal.webp,,,,
1343,simple,BH_N15R981_BH0291343,"Lomito en pan negro",-1,"Pan en tinta de calamar, lomito, mayonesa de zanahoria, rucula,tiritas de queso sale c/ papas",12000,"ENTRE PANES CALIENTES",,,,,
1344,simple,BH_6TZ84BF_BH0281344,"Sándwich a la oriental",1,"Vegetales salteados, lechuga, mayonesa de zanahoria",7000,"ENTRE PANES CALIENTES",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/sandwiches-vegetales.webp,,,,
1345,simple,BH_5DPR24Y_BH0271345,"La del pueblo",1,"<p>Pan, bife, queso, lechuga, tomate, mayonesa sale c/ papas</p>",8000,BURGERS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/hamburger.png,,,,
1346,simple,BH_6LS2XGD_BH0261346,"Casa de humo",1,"Pan, bife de 150grs,rucula panceta ahumada, cheddar, aros de cebolla crujiente, salsa barbacoa c/papas",9000,BURGERS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/hamburger.png,,,,
1347,simple,BH_F13AO39_BH0251347,"Texas picante",-1,"Pan, bife de 150 grs, jalapeño, queso de pimienta, lechuga, tomate, salsa bunker",8200,BURGERS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/hamburger.png,,,,
1348,simple,BH_A62212L_BH0241348,Bunker,1,"Doble bife, champiñones, cebolla, caramelizada, doble cheddar mayo bunker c/papas",9000,BURGERS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/hamburger.png,,,,
1349,simple,BH_PP5O1I3_BH0231349,"Bunker XL",1,"Triple bife, rúcula, crocante de panceta, cheddar, sale c/ papas",9800,BURGERS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/hamburger.png,,,,
1350,simple,BH_4ZKD11U_BH0221350,"Saltaditos de lomo",1,"Tiritas de lomo, vegetales, salsa de soja",8000,"AL WOK (sin tacc)",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/6d9342cfd301-lomo-saltado-t.webp,,,,
1351,simple,BH_5481TYY_BH0211351,"A la oriental",1,"Verduras salteadas, mix de semilla, salsa de soja",7000,"AL WOK (sin tacc)",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/saltat-de-verdures-amb-salsa-de-soja-i-mel-alemany.webp,,,,
1352,simple,BH_2SWKJ46_BH0201352,"Pollito bunker",1,"Tiritas de pollo macerados en salsa teriyaki, hongos, brocoli, zanahoria",8000,"AL WOK (sin tacc)",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pollo_teriyaki.webp,,,,
1353,variable,BH_793TFR7_BH0191353,"La común",1,,,PAPAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/fresh-potatoes-fri-with-souce-scaled.jpg,Porcion,"1/2 Porcion, Completa",1,1
1354,simple,BH_BJMS597_BH0181354,"Con cheddar y crocante de panceta",1,,7500,PAPAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/fresh-potatoes-fri-with-souce-scaled.jpg,,,,
1355,simple,BH_K56R4N3_BH0171355,"Al verdeo",1,,7000,PAPAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/fresh-potatoes-fri-with-souce-scaled.jpg,,,,
1356,simple,BH_9974L76_BH0161356,"Papas Bravas",-1,,7000,PAPAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/fresh-potatoes-fri-with-souce-scaled.jpg,,,,
1357,simple,BH_5CTC774_BH0151357,Muzarella,1,"Salsa, queso, oregano, olivas",7000,PIZZAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/4e475ddf-2c43-4d47-b69c-990a92e91029-26f258f7fdb6a2b9fb16276674103675-640-0.webp,,,,
